hour_of_day,activity,productivity_score
12,Design,0.9855765055815916
17,Writing,0.853399074748354
11,Design,0.7833409941461446
23,Analysis,0.6698122446807339
1,Analysis,0.9011654152462278
7,Design,0.693361066460623
3,Coding,0.9774196814063044
0,Analysis,0.7719735802653112
10,Analysis,0.8519696607713136
13,Design,0.6266350057362198
2,Design,0.728304874951915
16,Coding,0.6296388875262496
14,Writing,0.5074709227985504
10,Design,0.6611926731233166
14,Analysis,0.5962512807321316
10,Coding,0.6679700919372626
18,Writing,0.9611885208890728
4,Analysis,0.5649490085484192
8,Design,0.9078416458688464
18,Design,0.8914585309200633
4,Design,0.8411077129615985
4,Analysis,0.8294695844491282
9,Writing,0.9816372992403816
4,Analysis,0.6304033734004093
13,Design,0.5824989577519695
0,Writing,0.8330485640912351
12,Writing,0.8985784430190585
12,Coding,0.8310652378264927
18,Analysis,0.5463613046268454
2,Coding,0.8559772531289265
20,Analysis,0.5953626935124632
15,Design,0.9339891461874829
11,Writing,0.8448587610254354
3,Writing,0.8352642339487397
23,Analysis,0.8118721009124374
5,Analysis,0.5962384151618758
6,Coding,0.8574549976120103
16,Analysis,0.574479093250105
19,Analysis,0.5166331558484683
14,Design,0.5129962251422563
14,Coding,0.6257119021009723
20,Analysis,0.5556005984403672
6,Coding,0.8859559910852453
18,Writing,0.98885071684018
0,Writing,0.9156564740474722
15,Design,0.5426602371200939
15,Analysis,0.6174980587243919
9,Writing,0.9859445253610148
14,Analysis,0.954498122226922
8,Analysis,0.8581927961171228
18,Design,0.8386750932928626
8,Writing,0.6819828507809658
6,Analysis,0.5476892750556266
1,Design,0.8256461698355884
6,Coding,0.8128433141141335
8,Coding,0.868249250701404
10,Coding,0.7452353006930958
9,Analysis,0.63824371359125
19,Writing,0.7752219320559811
13,Coding,0.6190867011373643
15,Design,0.5536893545969181
16,Design,0.6420503822497647
